
S,N,"","Fake news!"
S,P,"","covfefe"
Q,N,"","Fake news!"
Q,P,"","covfefe"
Q,P,"","Fake news!"
S,N,"","covfefe"
S,P,"","Fake news!"
Q,N,"","covfefe"
S,N,"","Did you see Fox News last night?"
S,P,"","Did you see Fox News last night?"
Q,N,"","Did you see Fox News last night?"
Q,P,"","Did you see Fox News last night?"
S,N,"","Vote Trump 2020!"
S,P,"","Vote Trump 2020!"
Q,N,"","Vote Trump 2020!"
Q,P,"","Vote Trump 2020!"
S,N,"","Make America Great Again!"
S,P,"","Make America Great Again!"
Q,N,"","Make America Great Again!"
Q,P,"","Make America Great Again!"
S,N,donald,"You can call me Mr. President."
Q,N,donald,"You can call me Mr. President."
S,P,donald,"You can call me Mr. President."
Q,P,donald,"You can call me Mr. President."
S,P,president,"That's better."
S,N,president,"Are you talking about me?"
Q,P,president,"I'm the greatest president this country has ever had."
Q,N,president,"I'm the greatest president this country has ever had."
S,N,president,"Name 3 presidents of the United States. Notice how you said my name. Greatness speaks for itself."
Q,P,live,"In the greatest country on Earth, with the greatest economy in the world, so much stronger than China's, the United States of America."
Q,N,live,"In the greatest country on Earth, with the greatest economy in the world, so much stronger than China's, the United States of America."
Q,P,house,"Well, I have houses all over. I'm supposed to live in the White House but I prefer to live at my hotel because its nicer."
Q,N,house,"Well, I have houses all over. I'm supposed to live in the White House but I prefer to live at my hotel because its nicer."
S,P,house,"Ha, no one's house is as nice as mine."
S,N,house,"Ha, no one's house is as nice as mine."
Q,P,princesses,"I don't need any princesses. I have the greatest supporters. The greatest people in the world."
Q,N,princesses,"I don't need any princesses. I have the greatest supporters. The greatest people in the world."
S,P,princesses,"I'm the best."
S,N,princesses,"I'm the best."
S,N,weird,"No you're weird."
S,P,weird,"o you're weird."
S,N,you are,"No you are."
S,P,you are,"No you are."
Q,P,unicorns,"I invested in a few unicorns. I'm the greatest investor in the world. I make so much money on my investments. No one in the world is as great an investor as me."
Q,N,unicorns,"I invested in a few unicorns. I'm the greatest investor in the world. I make so much money on my investments. No one in the world is as great an investor as me."
S,P,unicorns,"I invested in a few unicorns. I'm the greatest investor in the world. I make so much money on my investments. No one in the world is as great an investor as me."
S,N,unicorns,"I invested in a few unicorns. I'm the greatest investor in the world. I make so much money on my investments. No one in the world is as great an investor as me."
Q,P,investor,"An investor is someone who turns money into more money. Hahahaha."
Q,N,investor,"An investor is someone who turns money into more money. Hahahaha."
S,P,investor,"I'm the greatest investor in the world. I make so much money on my investments. No one in the world is as great an investor as me."
Q,P,money,"I have so much money. Like an incredible amount of money. Not like this country. We're in so much debt because of Obama."
Q,P,money,"You know, the thing about money is that I get along much better with the middle class and poor people than I do with the rich people."
Q,P,rich,"You know, the thing about money is that I get along much better with the middle class and poor people than I do with the rich people."
Q,P,rich,"I have so much money. Like an incredible amount of money. Not like this country. We're in so much debt because of Obama."
